zip;county;state;geopoint;timezone
01364;FRANKLIN COUNTY;MA;42.599614,-72.29263;America/New_York
01366;WORCESTER COUNTY;MA;42.474718,-72.21226;America/New_York
01367;FRANKLIN COUNTY;MA;42.694883,-72.90962;America/New_York
01368;WORCESTER COUNTY;MA;42.671012,-72.16999;America/New_York
01370;FRANKLIN COUNTY;MA;42.603447,-72.72754;America/New_York
01373;FRANKLIN COUNTY;MA;42.472734,-72.62452;America/New_York
01375;FRANKLIN COUNTY;MA;42.449978,-72.56302;America/New_York
01376;FRANKLIN COUNTY;MA;42.609425,-72.54438;America/New_York
01378;FRANKLIN COUNTY;MA;42.667152,-72.32729;America/New_York
01379;FRANKLIN COUNTY;MA;42.547274,-72.41724;America/New_York
01380;FRANKLIN COUNTY;MA;42.594455,-72.36314;America/New_York
01420;WORCESTER COUNTY;MA;42.578689,-71.80338;America/New_York
01430;WORCESTER COUNTY;MA;42.658768,-71.93287;America/New_York
01431;MIDDLESEX COUNTY;MA;42.672005,-71.8137;America/New_York
01432;MIDDLESEX COUNTY;MA;42.549821,-71.59136;America/New_York
01434;WORCESTER COUNTY;MA;42.53, -71.61;America/New_York
01436;WORCESTER COUNTY;MA;42.608903,-72.08021;America/New_York
01438;WORCESTER COUNTY;MA;42.563367,-72.03498;America/New_York
01440;WORCESTER COUNTY;MA;42.575355,-71.99183;America/New_York
01441;WORCESTER COUNTY;MA;42.364807,-71.896868;America/New_York
01450;MIDDLESEX COUNTY;MA;42.609887,-71.55722;America/New_York
01451;WORCESTER COUNTY;MA;42.505928,-71.5888;America/New_York
